Naam,Nr,Parent

Bankrekeningen,11,BL

Reserveringen Cindy,01,BR

Reserveringen Harry,02,BR

Reserveringen gezamenlijk,03,BR

Uitgaven,41,EL
Uitgaven Cindy,411,41
Vaste lasten Cindy,4115,411
Variabele lasten Cindy,4116,411

Uitgaven Harry,412,41
Vaste lasten Harry,4125,412
Variabele lasten Harry,4126,412

Gezamenlijke uitgaven,413,41
Gezamenlijke vaste lasten,4135,413
Gezamenlijke variabele lasten,4136,413

Resultaat inkomsten,92,ER
Inkomensten,921,92

Resultaat gezinsbijdragen,93,ER
Bijdragen aan gezin,931,93
